text,label
Attached is a patch to support those variables.,0
Attaching a new patch.,0
Attaching the patch for branch-0.23.,0
"Because of this and HADOOP-4972, it may makes sense to acquire namesystem locks in getBlockLocationsInternal.",0
belongs to cactus project?,0
"Best regards,
Andrew",1
Better to have the samples run on the fly :-) .,0
Both the reducers (and possibly everybody else) is waiting on these.,0
bq. First of welcome :) Thank you.,1
"Brilliant feedback, thanks! I'm glad you found the issue, and the solution!",1
Bulk close for 3.1,0
But I'm not convinced its wise to add such support to the exisiting Java-only container file formats.,0
"But if one more ledger is created, then on next gc call, all ledgers deleted ( which are having lesser ledgerId than latest created) will be gc'ed.",0
But it would be better if you could provide a patch ;-) Thanks again.,0
But it'd still be nice to get the actual hotspot bug fixed.,0
"But, we still might want to sort it to ensure (better) progress (no livelock).",0
Can I get a +1 from someone else.,0
Can someone review the patch in the meanwhile?,0
can we apply the jarjar solution only to commons-csv?,0
Can you attach the WSDL /XSD files that created the problem ?,0
Can you give them a try and make sure it's all OK?,0
Can you please submit a patch?,0
Can you verify with other hypervsisors and update .,0
Cancelling patch until we get a consensus on Carl's comment.,0
cases the values in a derby.,0
Changed the patch as per Thejas's suggestion.,0
Changes looks good.,0
Changing serialization systems or file formats is a major imposition for many applications.,0
Checked in the patch (see revision 1295288).,0
"Cheers,
Ashwin...",1
"Cheers,
Berin",0
Cleanup MR staging directory on completion.,0
Closed after release.,0
combined patch against 1.0,0
"Committed a slightly cleaned up version of the patch in revision: 1464605
Thanks for your help Todd.",1
Committed patch with workaround in revisions 1054027 and 1054030,0
Committed r1463555.,0
"Committed revision 1058592.
thanks uwe for the review",0
"Committed revision 1298668.
thanks for the suggestion Antony",0
Committed revision 543344 in sandbox.,0
Committed revision 901901 to trunk.,0
Committed revision 946641.,0
Committed to 0.92 and trunk.,0
Committed to branch.,0
Committed to master.,0
Committed to master.,0
Committed.,0
Committed.,0
Committed.,0
Committed.,0
Committing shortly.,0
Completed: At revision: 520469,0
Contributed by Siddharth Seth.,0
Contributed by Siddharth Seth.,0
Contributed by Thomas Graves.,0
"correct build status capture
echo's exit code",0
Could you let us know if speculative execution was turned on?,0
Could you verify if there is still an issue with a 5.6 snapshot.,0
Could you verify the fix against the next nightly snapshot?,0
"created: 2005-09-18 23:36:49.000
resolved: 2007-06-04 10:08:18.657
updated: 2011-05-10 16:51:30.000",0
"created: 2006-11-08 15:55:12.000
resolved: 2007-06-04 10:08:36.132
updated: 2011-05-10 16:12:23.000",0
"created: 2009-09-01 05:38:20.000
resolved: 2009-09-22 18:54:05.051
updated: 2011-04-15 15:06:27.000",0
Daryn - did you get a chance to review the latest patch for this?,0
Deleting an entry now flushes the main page cache.,0
directly into Zookeeper to reduce this.,0
Do more modern version of the Flash player work 11.3- 11.6?,0
Do you mean more test cases?,0
Do you want me to tweak the patch to rename the alternate body header tag andif move it to the MailConstants?,0
Does it care at all?,0
Does nexus check for https connections for anything?,0
Does not appear to exist in trunk.,0
Does this belong to http://issues.apache.org/jira/browse/DAYTRADER too?,0
Does this mean the migrate tool is busted for this version?,0
Dojo [0] and Ext.js [1] take both a different approach (which i personally don't really like).,0
Done at rev.,0
"Er, sorry, paste didn't work -- here's the full bug text:
=====
The following dependency relies on the sun.",0
Everything is ok.,0
"Excellent work, Doğacan - thank you.",1
Excellent!,0
export with no args prints all the current settings.,0
export x=y sets the variable.,0
File formats are forever.,0
"FilterExprWalker.detach() calls DescendantIterator.detach() and set
DescendantIterator.m_traverser to null for $exceptions[1]/@name.",0
Fix applied to master (6d1d23b7d0eba4de3c4097907adc37b09191196e).,0
Fix for the gererate-id() problem seems to be correct.,0
Fixed at revision 936652.,0
Fixed classpath for chukwa core jar file.,0
Fixed in 1.2 branch as well.,0
Fixed in http://svn.eu.apache.org/viewvc?view=rev&revision=702423,0
"Fixed in http://svn.eu.apache.org/viewvc?view=rev&revision=707319
Many thanks to Ulhas for providing the patch!",0
Fixed in SVN now.,0
fixed in svn r344339.,0
"Fixed in svn revision 533916.
thanks,
dims",1
Fixed long ago.,0
Fixed TestCompositeService to not depend on test-order and thus made it pass on JDK7.,0
Fixing this issue led to the next issue.,0
For historical reasons in some (all?),0
"For the authentication issue, it's recorded in JAMES-1418 (I will try to look at it this weekend).",0
"Forgot to mention:
Thanks to Alejandro and his team for pointing this one...",1
Found when attempting to compile Xalan-J 2 with gcj.,0
Frank,0
Fresh copy of the example configs?,0
"From the logs, it is clear that the reducers could not fetch the output for map attempt attempt_200905051023_1155_m_000036.",0
From your comments I guess you changed it.,0
Glad to see people are interested in this.,0
"Go for it (provided it works ;-)
Will need to test XSP samples and make a note somewhere in the docs.",0
Good verification.,0
Google benefits tremendously by having a single standard serialization system and container file format.,0
Great investigations Doron!,1
Hadrian I wonder if we can add a _warning_ to the 2.0 release notes about the missing hash and sign files.,0
Have you got a link regarding the classpath exception and ASL2 compatibliity?,0
"Hello George,
The fix looks fine, many thanks!",1
"Hello Leo
The patch has been applied at revision r479576, thanks a lot for this enhancement, please verify that the problem is fully fixed as you expected.",1
"Hello Paulex,
The fix is fine.",0
"Hello Ruth,
The patch has been committed at revision r502513.",0
"Hello,
Thanks a lot!
It works.
Lisa",1
"Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12501038/MAPREDUCE-3209.patch
against trunk revision .",0
"Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12605661/MAPREDUCE-5538.6.patch
against trunk revision .",0
"Hi Andreas,
as we are a bank, we can't provide you with the normal documents as they are internal documents.",0
"Hi Anil,
Did you get chances to review and test?",0
"Hi Areek, yes, I'm reviewing your patch.",0
"Hi Atul,
that looks good at a first glace.",1
"Hi Bruno,
I like it, seems to work well at 1st glance
Thanks!",1
"HI Christian,
I've applied your patches to trunk.",0
"Hi Claus,
Please find the attached patch and zip files containing the changes you recommended.",0
"Hi Daniel, thanks in advance for your support.",1
"Hi Edward
Thanks for spotting it.",1
"HI Harry,
I am new to JSPWIKI and based on the error I chose the Security issue.",0
"Hi Jacopo,
no problem.",0
"Hi James,
This patch has been applied by chirino in the revision 576522 at Sep 17.",1
"Hi Jamie,
I can not access the mirror, get a 404, have you moved/removed it, do you still want it adding ?",0
Hi Jeremias.,0
"Hi Julien, please have a look on ./test/cpp/TestServer.cpp
It's doing exactly what you what to do but TFramedTransport is explicitly specified there.",0
"Hi Myrna,
Are you recommending that we commit this patch but that additional work be put into analyzing LocalizedDisplay.sql and LocalizedConnectionAttribute.sql?",0
"Hi Pepijn,
Can you please take a look at r1215075 ?",0
"Hi Sandy,
Thanks so much to give me such comments, that's really helpful, I will update this later.",1
"Hi Senaka,
That is exactly what I'd like to do, i.e., automatic download of CA cert and go ahead.",0
"Hi Subramanyam,
Any updates on this issue yet?",0
"Hi Uwe,
I updated the patch, now it uses TermRangeQuery and does not cast anymore getAttribute",0
"Hi Yuval, could you please attach a sample project showing the error?",0
"Hi,
Thanks for your comments.",0
"Hi, Corinne, did you attach the wrong patch?",0
"Hmm, the suggested patch is not good for DRLVM, which handles ""-version"" normally.",0
"Hmmm... it's not collisions then, it was worth a try.",0
Hope am not missing anything?,0
"how about changing to ERROR for org.apache.zookeeper.server, and leaving as it is for the rest?",0
How about fixing WHIRR-337 before?,0
How about patch 2?,0
How about renaming leftResults as remainingResults ?,0
"However, it may leads to significant performance degradation",0
"I added a "".""",0
I addressed all of them in a new version of the patch.,0
"I agree there's a bug, I just want to ensure any change still works correctly when CURRENT_USER name is passed in.",0
I agree.,0
I also verified that the bug still occurs in 10.6.1.0,0
I am going to repurpose HIVE-538 to clean up the implementation of the getSchema call.,0
I am quite skeptical about this.,0
I am still not able to run JSPWiki in Oracle Jdeveloper 10.1.3.3.0.,0
"I attached our resolvers, sadly we have no file system resolvers, because our repository is hosted on a central server.",0
I believe the notifications are now scheduled properly.,0
I believe this will be done only when the package name has to be changed due to backward incompatibilities.,0
I committed it.,0
I committed the patch to branch-1 as well.,0
I committed the patch.,0
I couldn't reproduce this.,0
I deleted the local hbase directory and the problem went away.,0
"I did some more messing around, and I was wrong about the FS stuff.",0
I don't agree to including the javadoc sources in the release.,0
"I don't however see that it follows that we should provide implementations of file formats with a large number of different serialization systems, as that invites multiplicative long-term support issues.",0
I don't know what i'm doing wrong!,0
"I don't see a direct relation between this issue and the issue of simplifying the implementation of efficient map-side joins (MAPREDUCE-1183, more or less).",0
"I don't this its specific to HyperV, as the mgmt server has to take care of reservation of IP address.",0
I expect this to take at least upto mid to late in the week in order to get a patch available for this.,0
I found the same issue about unparkSuccessor with the latest snapshot also.,0
I had a look at the rpm side and it looks ready to commit.,0
I have applied it in Rev.,0
"I have applied your patch
http://svn.apache.org/viewvc?view=rev&revision=757162
Thanks Pierre-Arnaud!",0
"I have attached DERBY-3084.diff and the corrected file, rrefsqlj31580.html.",0
"I hope you can figure out how to upgrade, and if you have any questions or need help, feel free to reach out to us.",0
I hope you'll like it!,0
I just committed this.,0
I just committed this.,0
I just committed this.,0
I just committed this.,0
I learned much the issue progress of hadoop here.,0
I like Richards update as well :) What I did was out of pure anger so it may not have been the sexiest.,1
"I like the idea of making sure that things that should be specified should be passed as method parameters in one go, rather than through chaining, which makes it a lot harder to see what is required.",0
I misunderstood your comments.,0
I polished and fixed CS as well.,0
I ran it from the base and it looks good.,0
I really like what I am seeing so far.,1
"I respectfully disagree with your interpretation even though in most of the
cases it corresponds to what the majority of users may expect to see (including
myself).",0
"I send you a list of all .jars at present i use in both projects, there are many libraries but i test even with the minimal jars with the same results.",0
I still can't work out how to do this.,0
I still find the difference puzzling -- I can't justify your version being 3x faster.,0
I tend to doubt there's anything we can do about this if the problem is at a lower level.,0
"I tested this again on Ubuntu 10.04,
This works with the new Tomcat instance and then when I tried the 2nd time it is not working.",0
"I think allUserRegionsOffline should be declared inside
{code}
} else if (this.stopping) {
{code}
block.",0
"I think perhaps some of the crazier ones like DiskFull, TestCrash, anything that has to disable MockDirectoryWrappers's checks because they must create corrupt indexes or other scary things.",0
"I think that Henry Zongaro should open a new defect for the local-name
problem.",0
I think that the problems are not related.,0
"I think the language in snowball must be English, not en.",0
I think this issue had a clear target to factor out the hash table out of TermsHashPerField and we should close it.,0
I updated the indentation and doc/build.xml.,0
I want to integrate the sweet sweet logo Andrew crafted.,1
I was sure It's in CVS already.,0
I will apply and verify it.,0
I will check-in this version...,0
"I will correct it and ask for commiting the patch, once I am done with this.",0
I will have a look at this.,0
I will investigate this issue and update the patch.,0
I will try to review the latest patch sometime today...,0
I will try your suggestions,0
"I would
appreciate if any commiter review the patch.",0
I would also like us to start using WikiNames wherever useful.,0
I would like to get some early comments on the changes I have made to the Namenode to support restarting within the same JVM.,0
I would like to see this reopened.,0
"I would love it in 3.3.2, will upload a patch for that version.",1
I would love to have it right now for storm too. If you want me to sign up as a use case I am happy to.,1
I'd like for Stack or Jim to take a look at it before we commit it.,0
I'd prefer that we instead direct users towards a single preferred high-level serialization system and a single preferred container.,0
I'd say last Sun JDK 1.5 as it's still the one recommended for OFBiz (even if I guess most of us use 1.6),0
I'll commit once hudson +1s it.,0
I'll have a deeper look this evening.,0
I'll have a look at mime4j and try to use it in Tika,0
I'll ping here once this will be done.,0
I'll post a patch that makes 10.9 compile the test against 1.5 instead of 1.4.,0
I'll re-run the whole suite on branch-20-security for sanity before committing.,0
I'm almost done w/ a conversion.,0
I'm glad we were able to resolve this issue.,1
I'm going to commit this momentarily.,0
"I'm no pom expert, but it seems that unqualified pom variables can cause this problem.",0
I'm not very familiar with ant but i'd think it's just a wildcard for a classpath.,0
"I'm thinking of multiple concurrent mutateRows operation, trying to lock the same set of rows.",0
"I'm truly sorry for this inconvenience, but JIRA is really strict about the versions being equal when doing an import.",0
i've attached a libs.zip that contains bookkeeper and zookeeper libraries.,0
I've attached the output of dblook as db.sql and a simplified creation script as sample.sql that includes the relevant tables and columns with sample data.,0
I've checked the repository myself and everything seems fine to me.,0
I've committed the patch.,0
I've just committed this to trunk and branch-2.,0
"I've modified the patch to name the function rep.normalize
If you think that my proposal is actually not enough ambitious for being called ""normalization"", do you prefer something like rep:toASCII, which may seem less universal ?",0
I've pinged PMC group to have another eyes look around to be sure that everything is fine.,0
I've ran the tests are both seems to be running fine now.,0
I've tried this and Can't seem to find any problem.,0
"I've updated the patch to do this, but it still needs tests for this part.",0
"If attempt id 1 was speculative, the framework would not have killed it as the original attempt was a failure.",0
"If I commit it as-is, we could miss some help.",0
"If it was not, was the attempt Id 1 killed explicitly?",0
If it's never ok to pass null for the path (ie a bug in the code) then you can assert path != null or throw an AssertionError.,0
"If it's OK sometimes and not others than IllegalArgumentException seems appropriate, seems like it should never be legitimate to create a FileStatus w/o a path unless using the no argument constructor.",0
"If no other objections, let's commit Clint's patch since it works for him.",0
"If regionnames were made of tablename+endrow instead of tablename+startrow, then in the metatables, doing a search for the region that contains the wanted row, we'd just have to open a scanner using passed row and the first row found by the scan would be that of the region we need (If offlined parent, we'd have to scan to the next row).",0
"If so, I'll go ahead and commit this patch.",0
"If tablet unloads were to use the normal compaction queue, may want to prioritize unload related compactions on the queue.",0
"If we had this in place, I think it would help with the migration to this new way of doing the meta because as is, the region name in fs is a hash of regionname... changing the format of the regionname would mean we generate a different hash... so we'd need hbase-2531 to be in place before we could do this change.",0
"If we redid the meta tables in this format, we'd be using an access that is natural to hbase, a scan as opposed to the perverse, expensive getClosestRowBefore we currently have that has to walk backward in meta finding a containing region.",0
"if we want to create a jspwiki-api.jar, we only need to jar up the contents of a particular subdirectory.",0
"If we were using scans, prewarming client cache would be near costless (as opposed to what we'll currently have to do which is first a getClosestRowBefore and then a scan from the closestrowbefore forward).",0
If you feel this can be done may be we can file an Improvement JIRA.,0
"If you have any other things you don't like about it, let me know and I can work on it tomorrow.",0
"if you like, please push this in.",0
"if you want to view online there is a refreshed version here: wicketstuff.org/wicket13doc
for fragment see here
http://wicketstuff.org/wicket13doc/org/apache/wicket/markup/html/panel/Fragment.html",0
"If you're ok with that, I think another jira should switch the parser.",0
"If, by any chance, you have the logs for the task attempts attempt_200905051023_1155_m_000036_0 and attempt_200905051023_1155_m_000036_1, could you attach them to this Jira?",0
"Igor suggested moving the call to Component#onBeforeRenderChildren() inside Component#onBeforeRender(), but if I do that, I get an NPE in the ListView#renderItem() method even for basic code.",0
Ilene Seeleman has agreed to review patch.,0
"Improve patch : when the flexibleString is resolved, search fields on root context and parameters map.",0
in a CREATE USER statement.,0
"In addition, it makes the committer's life easier, since there is an agreement by convention that the APIs inside *.api are not to be touched without common agreement, whereas anything outside of this package can be treated with more liberties.",0
"In fact, if you happen to know why ObserverHammerQuorumTest is failing with this latest patch, I'd love to hear.",1
"In the future, I could just get around the issue by using relative symlinks for those files (I think).",0
"In the same vein, isolating the API interfaces into a separate package makes it a lot easier to manage than having everything dispersed around - e.g.",0
In this case we have extremely wide spread __important__ values with only ___single_ occurrences.,0
Input welcome!,0
Is it just a note in the CHANGES.txt?,0
Is it planned to add the atomic feature to all resolvers?,0
Is this due to the deletion of write.lock,0
Is this possible?,0
It is just taking more time than I thought it would.,0
It looks like HLog main has support to invoke --split.,0
It looks like what was applied to trunk.,0
It must be a bug in Sun's hotspot compiler.,0
It only breaks if j14lib is not set.,0
It seems strange to me that we are retrying something that throws a DoNotRetyIOException.,0
It signifies 10% of generated values will be __fixed_ values - their respective bin means!,0
It will be great if you could confirm it either way first.,1
It will come eiither today or tomorrow.,0
"It works perfectly with the latest 2.7.8-SNAPSHOT, thanks !",0
"It's easy, look in the scratchpad/webapp/mount how it is done.",0
"Jacopo & Anil,
Here is the patch for this issue.",0
"Jan,
I looked that the logic again I think your are right.",0
"Jason,
I checked...you have karma as you are in the ""jira-administrators"" group.",0
"Jason, I suggest you create a separate issue something like ""Integrate BytesRefHash in Realtime Branch"" and I will take care of it.",0
"Jason, thanks for the patch.",0
Junit test.,0
Just noticed when trying to vote for 1.3.0.,0
Just updated and ran through a few test runs -- haven't seen this since.,0
"just wanted to mention it, as it's not about my personal preference, but rather what is considered most useful for everybody.",0
larger sample) we'll get fixed values for all this bins in the long tail.,0
Last Issue: I would question usage of Gaussian Kernel at all.,0
"Leo, patch applied at revision r438040, thanks a lot for this enhancement, please verify that the problem is fully fixed as you expected.",0
Let me test it.,0
lets use a new one to track the integration.,0
Looking good.,0
Looks fine to me.,0
"Looks fine, Sreekanth.",0
"looks fine, thank you.",1
"Looks fine, thanks.",0
"Looks good, I'll commit.",0
Looks we all ran into the same issue with TCK.,0
Mailing Lists to be set up before this cab be done.,0
Makes sense to me.,0
"Marcelo, thanks for pointing out this; it is now fixed in rev.",1
"martin-g :i think do this in 6.0 and do 4327 in 1.5.x as its very easy to do 4327,if you do 4327,there will not be any need to mock AjaxRequestTarget but if you do do 4327 also add getters for prependscripts and appendscripts in ART ;)",0
May be i have the current PUT with me and from which i form the new PUTs to be added thro coprocessor hooks to a new region.,0
"Megan, Glad to be of service : )",1
Modified YarnRemoteException to be not backed by PB and introduced a separate SerializedException record.,0
"More variations add significant, long-term compatibility burdens to the project.",0
"Murray, that is exactly what I am proposing - having a separate org.apache.jspwiki.api -package, and placing a number of existing manager classes into it as interfaces.",0
My assertion is that the username passed into these routines (without any modification) is equivalent to value of an username identifier in the SQL language after it has been parsed by the SQL engine.,0
My goal here is a very small/quick change to revert how every FsShell command (except count) to how it used to work.,0
My suspicion is that it will be resolved.,0
my xsltmark tests now run the docbook test without a problem.,0
"Namit, what do you by ""describe div""?",0
New 2.0.5 and 2.1 snapshots are deployed that contain the fixes.,0
New patch looks good (nice comment on why NODELAY).,0
New patch that includes those changes.,0
No - unfortunately I do not have enough knowledge to digg into OpenJPA's code,0
"No problemo, Close is fine for me.",0
Nobody would download and use 2.0.0 release where there is 2.4.0 or better.,0
"Note that the Derby builtin users are not created through a SQL identifier in the SQL language, e.g.",0
Note that though how users names are represented in the derby.,0
Note: also change the use/effect of network connector dynamicOnly - this flag had little effect but is now re-commissioned to indicate whether durable subs should be auto bridged (default) or whether they should be dynamic only.,0
Note: the attached patch does not break the existing API,0
Now it works as expected.,0
"Now, I can see this from the traces too.",0
"Nowhere in the spec 'circular redirects'
are mentioned.",0
"oh, I looked closely to see if you flipped args or did a compare w/ a presumption that hadn't been testing a statement or two earlier and it all looks right to me.",0
OK You are correct about that.,0
"OK, we'll leave it with Atlassian",0
Ok.,0
ok... i will change it then and keep in mind in case we run into odd issues permission wise.,0
"On 2009-11-18 04:47:59.970 dloverin commented:
Revision 11926.",0
"On 2010-03-01 15:37:55.688 jchuang commented:
AIR bug is fixed.",0
"On 2010-03-01 16:52:26.625 jchuang commented:
Correctly resolved external",0
"On 2011-10-26 15:16:22.394 jsaracin commented:
IRB -- opening to Chiedo, priority B, Ultra.",0
"one is could be provided, isn't it?",0
Only peerProviders and some tutorial left to do.,0
Only the cache is a local filesystem resolver.,0
"Oops, you're right, that makes sense.",0
"Or even better, do you have a patch?",0
Or even better: use the maven repository to automatically attach the sources-jar to your eclipse/idea/netbeans project.,0
"Or to be precise, a mostly equivalent set of APIs; JCR requires some modifications which would make it complicated to support the existing set of APIs - mainly because we need to carry state information in a WikiContext, which the old API signatures do not mostly support.",0
"Owen, thanks for the slides.",1
"Pareto, Tweedie, ..)
Why we don't stick with triangular or uniform distribution as default for Kernel within the bean?",0
Pat and myself are taking a look at it .,0
Patch adds javadoc for the newly added tests.,0
Patch applied at 472664.,0
Patch applied in r710027.,0
Patch applied in rev 586231,0
Patch applied in revision 885311.,0
Patch applied in revision 889133.,0
Patch applied in SVN revision 743258,0
Patch applied to LUNI module at repo revision r494822.,0
Patch applied to PACK200 module at repo revision r611862.,0
Patch applied to TEXT module at repo revision r450026.,0
"Patch applied, thanks",0
"Patch applied, thanks Nils",0
"Patch applied, thanks.",0
Patch applied.,0
Patch applied.,0
Patch committed to trunk.,0
Patch committed.,0
Patch d2087_try2.diff Committed revision 499100 - Thanks Julius,0
"Patch looks good to me & has been committed, thanks!",0
Patch looks very good.,0
Patch submitted.,0
Patch to address the issue.,0
"Patch was applied, analyzers can now be instantiated by writing some javascript to be executed on the server side.",0
Patch with the fixes.,0
"Paulex, the original patch seems to be out-of-date.",0
"Perhaps, throwing IOException is going to prevent us from a situation where we end up with a deadlock.",0
Personally I'm more concerned with (1) than (2).,0
"Personally, I'm +1 to commit.",0
PIG-1912-3.patch address Santhosh's review comments,0
Please can you provide an updated patch?,0
Please check that the patch was applied as you expected.,0
Please check that the patch was applied as you expected.,0
Please check this fully resolves your problem.,0
Please contact me if you need any clarifications.,1
Please go ahead and create it.,0
"Please have a look at the latest patch FELIX-3339_threaddump-as-inventoryprinter_FIXED.patch which correctly provides an InventoryPrinter implementation of Thread Dumper, have a look at the attached Screen Shot 2013-05-23 at 3.02.24 PM.pdf to see it in action embedded in the WebConsole.",0
Please justify why no new tests are needed for this patch.,0
Please justify why no new tests are needed for this patch.,0
Please let me know if any further changes are needed.,0
Please let me know.,0
Please look at this patch (d962_javadoc.2.diff.txt) I ran javadoc and did clobber and ant all ok.,0
Please provide your suggestions,0
Please review and comment if anything is lacking or incorrect.,0
Please review.,0
Please take a look and see what else needs to be fixed.,0
Please verify this issue is fixed as you expected.,0
"Please, verify.",0
Probably it is way deeper problem.,0
"Probably makes sense to do these like HDFS-4014, sensitive changes get their own patch and the general new classes of warning can be handled in bulk in a small set of patches.",0
Problem ensuing from source files inconsistency,0
"Qian,
Does seem like something wrong with hudson.",0
"re: ""should remain"" - yes, I vote it should remain, but be more flexible",0
"Regarding Doug's points...
> But perhaps the preferred import should instead be 'import static SchemaBuilder.*'?",0
"Regards,
Ravi.",0
Regex is your friend.,1
Removed.,0
Reporters of these issues please verify the fixes and help close these issues,0
retrospectively setting fix version in preparation for SDO M3,0
"reviewed, looks good.",0
Right now it will proxy to port 80 of the httpd instance running on the current VM.,0
"Right, and right after that is the section I was referring to.",0
"Screens too big to attach: https://www.dropbox.com/s/p2e2gvi87vw772n/cordova_screens.psd
Eventually this should go on the Cordova website, and not the repo, I think.",0
See https://issues.apache.org/jira/browse/HBASE-5151?focusedCommentId=13412056&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-13412056 for one reason we need versioning in patch filenames.,0
See INFRA-4641 for some thoughts on how we could/should achieve that.,0
Setting fix version for 3.0 - ie) won't be looking at applying this until after 2.3 gets released.,0
Should be a quick review.,0
"Simon, I'm going to get deletes working, tests passing using maps in the RT branch, then we can integrate.",0
So I took the liberty of updating the patch to use requiredX/optionalX methods like in your code.,0
So I'm all for a more generic serialization API that can be used by MapReduce applications.,0
So returning an empty string in such case.,0
So we are sure how to parse it no matter how hadoop/platform changes.,0
"So when 2.3 is released, you shouldn't get the problems you've had from 2.1 to 2.2 for these files.",0
"So, good news is we finally have a chance of testing the exports very soon, bad news is, it will require an update on your side to be able to transfer the spark JIRA data.",0
"So, I added a comment out on UnInvertedField.",0
"Solution looks as follows: when doing a cluster sync, whether it is for reading or writing, always acquire the version manager's read lock first.",0
"some tests are still problematic, at least on windows...",0
Sorry about your signal :-(,0
Sorry I didn't see that before creating this issue.,0
