anger_train_comment,anger_train_label,anger_test_comment,anger_test_label,joy_train_label,joy_train_comment,joy_test_label,joy_test_comment,sadness_train_comment,sadness_train_label,sadness_test_comment,sadness_test_label,love_train_comment,love_train_label,love_test_comment,love_test_label
"(Ok, as expected ...)
Waiting for a better log, when you will have installed a new server build from 1.0-trunks, then.",0,> Actually I just noticed something when trying to commit.,0,1,"Ok cool, this is just a matter of adding strings to the various [NotFound()|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L160] returns in files.cpp

There are a number of error cases in the [browse|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] and [read|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] endpoints, I'd imagine one could change the javascript to generate bad requests which should be sufficient to test this :)",0,"@Andrei:
Please re-attach patch using --no-prefix option.",(BTW - The Idea to retrieve the Document Title is the best solution on my opinion.),0,+1.,0,(Both the patch and the JUnit tests).,0,+1 for the patch.,0
"(There are other requirements for these types of damages also, all described in 17 USC 401 et seq.) OTOH, if you want to waste your time proving *actual infringement damages* for free software, don't bother with a notice, but also don't bother trying to find an attorney to argue your case.",0,> We can't let fear of back-compat prevent us from making progress.,1,1,"cool, no worries.",0,HadoopQA uses -p0 to apply patches.,"(HDFS-2426)
- fixed bugs in getBlockLocations.",0,+1.,0,(review board is helpful).,0,+1 on the patch.,0
) - it should be in AJDT in a couple of days.,0,"A second run (with 2048M) only got worse (sooner) OOM behavior and after that I had trouble getting rid of my processes
- apparent hang with derbyall:lang/wisconsin.java.",0,1,"Cool feature!

Performance:
 - It looks like scripts are read from the resource loader and parsed again (eval) for every update request.",0,"Ok, got it, thanks for the explanation.","(HDFS-2438)
- throw FileNotFoundException if getFileStatus on non-existing file.",0,A slow hash algorithm makes offline cracking harder.,0,"(There is no PageManager at all; there is a ContentManager, which will have a very similar API, but it will manage both pages and attachments.",0,+1 to what Esteban said.,0
"[~cmccabe]: oh, hell no!",1,After moving it to a local disk I can't reproduce it anymore.,0,1,"Thanks Ram,

That seems like a definite improvement.",0,"In any case, the code for the toBytes method is written now, so it should be a simple thing to move it to the PType implementation classes.","(HDFS-2468)
- throw IllegalArgumentException if setOwner with both owner and group empty.",0,"Aaron,
Go ahead.",0,(We are retrying once and if we fail twice we give up).,0,"+1, in my mind, the -ROOT- table is very important of routing the right RegionServer of .META.",0
"[rvollmar 3/27/07] There are two bugs that are causing backwards compatibility issues, and I think the emails we've been exchanging have confused them.",0,"Ah, HA!",0,1,Interesting that you decided not to detect the error based on finding two similarly-named operations.,0,"It would probably also be worth having optimized versions for primitive values, instead of writing them to an Avro/Writable first to get the bytes representation.","(HDFS-2508)
- changed file checksum json response root from ""MD5MD5CRC32FileChecksum"" to ""FileChecksum"".",0,"Actually that's what this change did, sorry for the noise.",1,"(will commit after Hudson +1s, that is)",0,"+1, the latest patch looks good to me.",0
"{noformat}
set-net-2.0-framework-configuration:
[property] Target framework changed to ""Microsoft .NET Framework 2.0"".",0,All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.,1,1,It's OK.,0,"But yeah, that's for another JIRA.",(I could not get what KEYWORD means.),1,Added Maven Remote Resources Plugin version 1.0-alpha-5.,0,"[0] http://dojotoolkit.org/~dylan/dojo/tests/widget/demo_DatePicker.html
[1] http://extjs.com/deploy/ext/examples/form/dynamic.html (3rd form)",0,A workaround for this issue is to use entity resolver.,0
"{quote}
Dear Azuryy Yu,
This message acknowledges receipt of your ICLA, which has been filed in the Apache Software Foundation records.",0,"Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate.",1,1,"Hi Suran,

The new catalogs_b.patch looks very good.",0,An example patch.,"(ie, this is an AIR bug, not a Snitter bug)",0,"Also, setting webinterface.private.actions has other effects like enabling the 'kill job' and 'kill task' links on the Job web UI.",0,[bulk update] Close all resolved issues that haven't been updated for more than one year.,0,"Aha,, thanks for the information. That makes sense. Glad to hear that it helped! :)",1
"{quote}
I fail to see why that is a bad thing if we're looking at the rare scenario of having to postpone the sorting decision to search time.",0,and close this issue ?,0,1,"Nice feature, lars!!",0,"Was unable to run the unit test I wrote (because my setup is being a jerk), but I'm more looking for input on the design.",(If you cast the Runnable in afterExecute to ScheduledFutureTask you can get access to the scheduling info.),0,"Alternatively, I don't know what is the compiler error on Debian, but it may very well be missing the include inside BoostMutex.cpp:
{code}
#include <boost/thread/mutex.hpp>
{code}
Thanks!",0,{{PreTestTarget}} is a garbage I have missed out.,0,aim to merge patches and publish for review by this coming weekend,0
"{quote}
Neither of these produce a copy.",0,"And PayloadTermQuery lost an ""if (includeSpanScore)""?",0,1,":)

I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.",0,"Thanks for the reviews, committed the patch to trunk",(sorry if that was confusing),1,And I did it according the style of each class.,0,{color:green}+1 core tests{color}.,0,"Alexei, this patch is quite out of date (sorry about that).",0
"{quote}
searcher.getAtomicReader().getSortedDocValues(uniqueKey);
{quote}
This is a performance killer.",1,Any objections to committing the security.rb part from the trunk patch to the 0.95 branch now?,0,1,Looks like this is fixed :),0,"Zdenek,

Thank you for working with these components.",(Thanks Arpit for the suggestion.),0,And the current behavior is irritating.,0,"@Andy
I have some thing which is similar to this and sorry if am diverting the current JIRA title.",0,Also please list what manual steps were performed to verify this patch.,0
"{quote}
viewColumn v.s.",0,"Anyway, created a patch ...",0,1,Version 2.2.0RC3 is fine.,0,"I seem to be having trouble applying the patches, though, and I'd hate for all these corrections and improvements to be lost.",(The cost of randomly reading 1k is nearly the same as randomly reading 100k--both are dominated by seek.),0,"And with a network that
tolerates almost everything to get a mail somehow in the right place, it is only seldom noticed (or when it is, it is blamed on
Microsoft.",1,@Ashutosh: thanks a lot for the comments.,1,"Also, when do you plan to take up AMBARI-1843 for adding the unit tests?",0
"{quote}
you lost me there ... they can use the exact same configs – that's kind of the point: testing the exact example configs as we ship them (with <lib/> declarations that point at dirs which may or may not contain jars depending on what contribs are built; and request handler / response writer declarations configured that use lazyloading to dynamic load things as needed.",0,"Are there other parts of your app that
interact with or manipulate the ""course"" bean or its ""labKits"" collection?",0,1,Sounds like a good idea.,0,Do you think you could submit a new patch in a single file (perhaps named with the current date) based on the current SVN head ?,[~appodictic] Sounds good and thanks!,0,"Andrew, are you familiar with this code?",0,"@Ivan, could you please add your comments?",0,An email snafooey caused us to update our JIRA instance to 6.1 before we had a chance to test the import on our test instance (it didn't work properly for those who tried to whack at it).,0
@ 1.,0,"At least it was intuitive for me, and I am pretty new to all this.",0,1,Many thanks for your help.,0,That would really help a lot.,[~egli] - can you reproduce?,0,Anoop reminded me about this.,0,"@Jon,
+1 the patch looks good.",0,Any objections?,0
"@ Thomas
Your framework is available?",0,Bad.,1,1,Thank you!,0,Rest of Ender's patch was applied.,[~lhofhansl] Yea....,0,"Anyway, I am creating a project that began with 2.0.0-M3 and is now using 2.0.0-M4.",0,@Matt It would if I submitted the patch... Ugh Lets see.,0,Applied jackrabbit-core patch in revision: 949724,0
@2.,0,batch transition to closed for remaining resolved bugs,0,1,I've tested them out and everything is fine.,0,"It is good to know that pluto has a problem here, but I realy need servlets integrated pluto.","[~lhofhansl], thank you so much.",0,"Anyway, the ""-2"" patches include all the changes in the first patch files.",0,"@Stack, @Ted Can u people have a look at the patch pls?",0,Applied patch with thanks to Christian.,0
@3.,0,Both equally bad.,1,1,Is that ok for this file (b/c I have no idea how to do the svn move now ... after I've made all the changes already) :),0,@Arnaud: My key looks exactly the same and was generated with Cygwin's ss-keygen.,"[~smarthi] When I apply this patch, the source code cannot be compiled.",0,"As KeywordTokenizer does the same thing, I'll close this issue.",0,* properties may or may not match how a SQL engine would store them.,0,"Applied, thanks!",0
@filipe I forgot the case where includes are in include/js (or mozjs).,0,bq. this is solr's fault by having a getter that does some heavy duty xml shit.,1,1,Thanks once again.,0,"The file has Unix line endings though ...

@Lukas: scpexe works for me with M2 despite the fact that it insists on a key even if an agent is running (WAGON-27).","[~thejas], could you please have a look at this patch?",0,Brain fart.,1,"* property may be as a delimited identifier, e.g.",0,Are there snapshots of the volumes belonging to the VM?,0
@jira - I wish you didn't suck so much.,1,But I didn't get any memory errors.,0,1,"bq. OK w/ the latest patch all tests pass for me! Great 
Awesome! :)",0,Do the same tests work fine on 1.5.0dev?,[1] https://svn.apache.org/viewvc?view=revision&revision=733924,0,Change its variable name to be more intuitive.,0,"*, he knows that the classes are potentially unstable.",0,"Assume the PUT(and related things) that i created in preBatchPut is also needed while i use the preWALWrite, is there any way i can carry it in one flow?",0
"@Matt... I'm an idiot, I used the wrong patch. Sigh.",1,But I still try and police it because I think its important.,0,1,"Great! Awesome!

thanks,
Dims",0,"One of the things I changed in jnr-posix, was to make stat and fstat use stati64 and fstati64 respectively, instead of stat64 and fstat - the last may be why its breaking with jna-posix.","{code}
// start new RM
MockRM rm2 = new TestSecurityMockRM(conf, memStore);
rm2.start();
// verify tokens are properly populated back to DelegationTokenRenewer
Assert.assertEquals(tokenSet, rm1.getRMContext()
.getDelegationTokenRenewer().getDelegationTokens());
{code}",0,Changed log.info in LOForeach getSchema() to log.debug.,0,# filter.filterRow() is called *after* filterKeyValue in the normal flow of things.,0,Attach patch v2.,0
"@Oleg, please accept that my ""logical"" is different from your ""logical"".",1,But I'd have to play with it some to see for certain.,0,1,"Great! Awesome work, Nick, and thanks for the clarification, Bill. ",0,"Look in WindowsLibCFunctionMapper.java for the fstat mapping - it may all magically work if you change fstat to map to _fstat64 (note: no 'i' in the name - uses stat64 struct instead of stati64 ... they have different sized atime, ctime, mtime fields).","{code}
+ DataOutputBuffer buf = new DataOutputBuffer(size);
{code}",0,"Commit cf6045f1aa37674f0225144ae0a1f662f955f153 in branch refs/heads/pvlan from [~jessicawang]
[ https://git-wip-us.apache.org/repos/asf?p=cloudstack.git;h=cf6045f ]
CLOUDSTACK-747: internalLb in VPC - UI - create network offering - system offering dropdown is for router only.",0,+ http://tomee.apache.org/datasource-config.html explains that IgnoreDefaultValues can be used to avoid it,0,Attaching the 10 findbugs reports for common and the various hadoop-tools projects and hadoop-auth.,0
"* Framework for JMS, db access can be reused.",0,"But in any case, please keep things simple and stupid :)",0,1,"Great work...this is awesome stuff.
",0,"Otherwise, the WindowsFileStat structure looks ok, apart from the st_blocks and st_blksize fields at the end, which are not part of the windows stat64 struct, so will probably be filled with either zero, or garbage.

","{code}
ByteBuffer appAttemptTokens = attemptState.getAppAttemptTokens();
if(appAttemptTokens != null){
attemptStateData.setAppAttemptTokens(appAttemptTokens);
}
{code}
New public method necessary?",0,Committed Ron's patch.,0,"+1
I committed this.",0,"Best regards,
Andrew",1
"* Replaced TreeMap with an Array of final 'Segment' objects
** (now very slightly faster than trunk)
* Rebased for trunk
* Removed the patch renaming SSTableReaderTest to SegmentedFileTest
I didn't remove the builder pattern, because the alternative seems pretty ugly (copying the segments array for every append).",1,But please don't say that my reasoning is bad - because it is not.,1,1,great. awesome job sergey!,0,Awesome. Thats great to hear!,"{noformat}
_harMetaCache
{noformat}
Also, this is meant for trunk only?",0,Contributed by Alejandro Abdelnur.,0,+1 @author.,0,"Best regards,
Jimmy",0
* This is needed since the MappingTool fails if it gets non-persistent capable classes.,0,but there is no such limitation in the consistent algorithm behind ZK.,0,1,Awesome - great stuff Maria.  Thanks!,0,"{quote}

Hmm, looks like the backport blew away scrubtest on 1.2 as well.","@Jon
Thanks for committing it.",0,Could we keep this DataOutputBuffer for reuse?,0,+1 Committed.,0,"Best regards,
Richard",1
"*.. info.ftl might have confused you :)
Divesh",0,Can this be closed?,0,1,Thanks for doing that Uma.,0,Oversight?,"@Luke, Sorry for the late, attaching latest version patch",1,Could you attach a test case (Junit preferrably) that shows the unexpected behaviour?,0,+1 for commit.,0,"Best regards,
Richard",1
"*Damn*, I forgot.",1,"CASE_SENSITIVE boolean=> TRUE
9.",0,1,Wow!,0,"{quote}
Yes, was an oversight.","@Roger: huh, this is bad, as a partial integration will seg fault, see BoostMonitor.cpp which does a cast of a boost::mutex.",0,Do you mind rebasing Vijay?,0,+1 I just committed this.,0,"blindly changing the oak security provider to private SecurityProvider securityProvider = new SecurityProviderImpl();
gives Tests run: 706, Failures: 0, Errors: 122, Skipped: 13",0
"#2 wontbe so bad... filters are pretty deep and will be just as efficient as
hacking scan query Matcher I think.",0,Closing all 1.6.0 issues,0,1,Thanks Bryan!,0,"Just for clarification, skipBloomFilters is old.","*, regular business exceptions work.",0,Dump looks similar to previous one.,0,+1 javadoc.,0,"But we know a lot about docids, and extra hashing should just lead to an average-case slowdown.",0
"+/**
+ * This class is a refactoring wrapper around the shared
+ * JDBC40Translation class.",0,Contributed by Ashish Singhi.,0,1,Patch looks good to me.,0,#1 and #2 are incorrect.,*sorry*,1,Fixed by making the url absolute before passing it to the web container.,0,"+1 Looks good
I just committed this.",0,But when i delete the file which was created at <tomcat-home>/bin/search-index/write.lock it works fine but I'm not sure whether this creates other implications?,0
"+1 (damn intellij, it's not like patch format hasn't been standard for years)",1,Damn !,1,1,"Thanks, Jeff!",0,1: The skipBloomFilters gets called on the index file in RowIndexEntry line 104.,"//OdfDocument embedDoc = doc.getEmbeddedDocument(""Object 7"");
//embedDoc.save(ResourceUtilities.newTestOutputFile(TEST_FILE_EMBEDDED_SAVE_OUT));
//embedDoc = OdfDocument.loadDocument(ResourceUtilities.getTestResourceAsStream(TEST_FILE_EMBEDDED_SAVE_OUT));
//Assert.assertEquals(embedDoc.getMediaType(), OdfMediaType.TEXT.toString());
Svante",0,"Forget git add, get sad...",0,+1 on patch.,0,"Changes appeared in 10.8.1 documentation, so closing.",0
+1 For this new design.,0,Damn maven!,1,1,It is good to have the test.,0,"2: In 2.0, the skipBloomFilters will be called on a 1.2 sstable; also, the skipBloomFilters currently is called against any sstable when scrubbing.",# New TestTopDocsCollector as well as test cases in TestSort.,0,Forgot to add that I also tried this with and without HBASE-5864,1,"+1, committed, thanks",0,Committed revision 642996.,0
+1 for this: my bad.,1,Damn...,1,1,"Thanks, Owen!",0,I made a preliminary patch to share the idea how this can be fixed.,% host mail.phnx.uswest.net.,0,Form#maxSize is ignored now too.,0,"+1, if the test is problematic, we can always either comment out the new test, or @Ignore it, and add a note.",0,Committed the patch to trunk (revision 63660) and branches/2.1 (revision 636606).,0
"<gmcdonald> , my bad",1,Damn...,1,1,Thanks!,0,"- This fix works if I run a ""mahout"" from command line against a Hadoop cluster.",+1 great job pat.,0,"FWIW: this issue is a regression of JCR-890, i.e.",0,"+1, patch looks good to me.",0,"Committed to trunk and flume-1.4, rev: c0c4947.",0
> I hated that aspect of working for commercial companies.,1,"Django is a fullstack framework, Click is not.",1,1,"Thanks, Dhruba!",0,"A unit test case doesn't work; -Dkey=value is not parsed in ToolRunner but passed through to SparseVectorsFromSequenceFiles, resulting in a parse error.",+1 on intent from looking at what the patch fixes.,0,"getUserInSystemGraph usisng a priviledged block to access the system graph, I don't think this should be done here as the result is no of you if the caller has no access to the system graph.",0,"+1, thanks Henry
Committed revision 779716.",0,Committed to trunk.,0
> I'm confused.,0,Does this suck?,1,1,Patch applied with thanks!,0,Did I make any mistake?,"+1, let's rip it out and redo it if we need it.",0,Git is tricky that way.,1,"+1, thanks Tom!",1,Committing now..,0
"> Ideally we would move to NIO framework like netty, but that would much larger effort.",0,Doh!,0,1,Looks quite perfect after solving PDFBOX-490.,0,Maybe because a JUnit doesn't really mimic a real hadoop env?,+1.,0,Have passed all the local unit tests.,0,"+1, the latest patch looks good to me.",0,Common has 100 or so warnings and there's a couple dozen spread out around the others.,0
"> The modified test (below) gets stuck in an infinite loop
Your test is buggy.",0,"Doing things based on an organizationPartyId associated with the user is BAD BAD BAD, and basically kills the multi-organization support in OFBiz.",0,1,"Thanks, Ashish!",0,"- I was not sure about the convention of function parameter order, i.e., F(a,b,conf) or F(conf, a,b), but I just followed DictionaryVectorizer.createTermFrequencyVectors that places Configuration parameter after Paths.","<danielsh> Yes, any23.zones.apache.org is the jail's hostname, so use the IP it resolves to.",0,Here is addendum to fix (Sorry about build breakage),1,+1.,0,Consolidate all error handling in KafkaServerStarble.,0
"2,5 hours gone.",0,"Don't hate me, just throwing this out there.",1,1,"Many thanks, Neeme.",0,"IMHO, Configuration should be the first or the the last arguments.",<joes4> lists will be available in 1 hour from now.,0,"Here's another crack at this:
1) The default behavior for Derby is the current behavior with all of its security holes for java routines.",0,+1.,0,Contributed by Mahadev Konar.,0
"2.8.0 is no longer supported so even if there is a bug, it won't be fixed in 2.x.y release series.",0,"duplication of such a small amount of trivial code is far less evil than yet
another dependency.",0,1,Thanks for the help BJ!,0,"It looks like there is something about the build scripts that is causing it, because hdfs.proto, where NameSpaceInfoProto is defined, is more or less identical between trunk and branch-2.",<joes4> This is a bug in FreeBSD's ldap support- sorry there's nothing we can do about it.,0,"Here's what got renamed:
.../{hadoop-hbase.postinst => hadoop.postinst} .../deb/hbase/{hadoop-hbase-doc.dirs => hbase-doc.dirs}
.../deb/hbase/{hadoop-hbase-doc.install => hbase-doc.install}
.../deb/hbase/{hadoop-hbase.dirs => hbase.dirs} .../hbase/{hadoop-hbase.install => hbase.install} .../{hadoop-hbase.manpages => hbase.manpages} .../hbase/{hadoop-hbase.preinst => hbase.preinst} .../hbase/SOURCES/{hadoop-hbase.sh => hbase.sh} .../{hadoop-hbase.sh.suse => hbase.sh.suse}",0,+1.,0,"Converting to the new method, we'd have to run a migration on startup changing the content in meta.",0
"2) The ZKVersion used in the <topic,region> map is used to guard against the case different hub-server use the map at the same time (or interleaved).",0,"durrrh, that sucks.",1,1,thanks Tomas!,0,Looking forward to using it.,> Another thing: is the try ... catch good or bad?,0,"Hey Vikram-- sorry about that, I haven't paid much attention to this issue.",1,"> Attached is d1644_combined_v3.diff, a patch proposal which combines the two previous code change patches.",0,could we get rid of normal?,0
"4.5 quotient 1.5 => 3
5.9 quotient 1.5 => 3",0,"Filling diags.log is bad mojo, since it's never rotated.",1,1,Thanks!,0,I just committed this.,> I don't see where this is limited to user-facing pages.,0,"Hi Zeid,
I'll go ahead and commit your changes, but this one doesn't look right...I think it's a hold over from the Mac files.",0,> Eagerly awaiting faster mirroring with github.,0,Could you supply also a webapp sample?,0
5% seems pretty low.,0,"First, there are some backwards compatibility concerns.",0,1,Applied patch with thanks to Scott.,0,Please submit new issues for the other aspects of this that remain unfixed.,> now this is really kewl ;) Very 'kewl'.,0,How to handle the problem with LUCENE_29 setting and the posIncr of stopwords together with QueryParser that has a default setting of ignoring posIncr?,0,> We can convert from Java object to JsonNode by parsing the output of GenericData.toString(Object).,0,"Created an attachment (id=10304)
test.xml",0
"A feature with wrong functionality is as bad as, if not worse than, a bad performance.",1,"For the first part, I got stuck on two points.",0,1,Enjoy!,0,+1  Patch looks nice.,"> Stage 2, btw, will involve documentation.",0,"http://www.ibm.com/developerworks/java/library/j-jtp03216.html
{noformat}
OutputStream out = fs.open(...);
try {
out.write(...);
} finally {
out.close();
}
{noformat}
When multiple files are involved the best thing is to nest the try blocks.",0,"540843
I'm leaving this issue open because a similar patch should be applied to the ecommerce/includes/language.ftl file
Jacopo",0,"Created an attachment (id=12292)
corrresponding patch for LocalStrings.properties - will provide more as I encounter them",0
A message is already logged.,0,For those of us who don't care about ivy in fact lose something - a easy to build hbase.,1,1,thanks to Ernst Fastl for adding this.,0,Probably worth adding a third case in testDataDirectories for a URI that includes an authority (file://localhost/path).,"> then we don't save IO by limiting the buffer size to 1 KB
I'm confused by this.",1,Hugo - if you couldnt reproduce it please close it,0,"897392
Thanks Sharan !",1,"Did you intend to combine our patches, or is your patch incomplete?",0
A single table could be made up of many thousands even hundreds of thousands of regions?,0,Forget the patch for the moment.,1,1,Thanks for the patch Mubarak.,0,I've committed this.,> we have to do it for each call.,0,huh ... i thought i did resolve this.,1,A pleasure :>.,1,do we really need this?,0
A stupid bug in a patch that is already applied.,1,"gcc 4.3.1 is out since June 2008, so the workaround is no longer needed.",0,1,Thanks Koji!,0,Resolving as fixed.,"16-byte BigInteger is overkill, all we need is a reasonable distribution (now that Tokens don't need to be unique) and 64 or even 32 bits is plenty for that.",0,I am new to Mina and the whole environment.,1,A test suite that shows the issue,0,Doc update to correct FQCN.,0
A user looking at the set of changes won't care :),0,guys... this is so stupid...,1,1,Long Life MyFacesssssssssss!,0,I ran it on current trunk.,2) Dns lookup in token selector would be invoked for every connection using token authentication.,0,"I am not really sure what does the receive payment do before the shipment, it doesn't sound as if it is doing what we expect it to do.",1,"Aaron:
I completely agree the parser needs to be changed, but I don't currently have the time available.",0,Does it looks like if I call that on the log that it will put split it and put the data into the right place?,0
"Aaarrggh, how stupid of mine to have a System.out, again!",1,Hell or high water.,1,1,"Looks good, thanks Laura!",0,"It successfully gets the expected exception, but then fails to close FSNamesystem with NPE.","2) To get secure behavior for java routines, the customer has to explicitly opt-in.",0,I don't have the cycles today.,0,Actually I thought to take a look on this weekend.,0,EventListeners and CacheLoaders are documented.,0
"Actually I don't want to specify the encoding, because I don't care how the data is transported to me.",1,Here is quite bad.,1,1,Thanks Ashish!,0,So yes it fails but not where you wanted it to.,2000*2000*4 = 16 Megas.,0,"I don't think there is any sense in this, who cares?",0,"Added comment before ""Path getPath()"" to address Todd's comment.",0,Executing /stop on a running EC2 instance will terminate the instance.,0
"Actually, let's just fix the issue you discovered here.",0,Here is quite bad.,1,1,"Thank you, guys!",0,Please open using the JIra workflow and fill in the details.,22.2 close(): Could we rename it to shutdown to map startup()?,0,I guess I could have cleaned this up rather than just changing the default cache report period like Colin asked.,0,Added patch to support configuration mapping,0,Fixed in LUNI module at repo revision r598681.,0
Adding a different patch.,0,HOLY SHIT!,1,1,Thanks Ashutosh and Gunther for your help!,0,"we improved hash handling in Railo, but we get not the same result with non ascii characters as ACF (with ascii characters everything is fine).",22.3 readCheckpointedHighWatermark(): We should just read the HW from memory.,0,"I guess the gen stamp is unnecessary, but the DN isn't going to automatically mlock newly appended data, so the NN needs to somehow realize that the cached length is shorter than the new length and ask the DN to recache at the new length.",0,"Adrian,
I cannot find the listVisualThemes.ftl file in your last patch.",0,Fixed in rev 1137251 and 1137252.,0
Adding directories to removedStorageDirs in original patch is already in branch-1.,0,"However, I doubt that the same is true for MapContext because it is just a wrapper around a HashMap.",0,1,I really appreciate your comments and I really enjoy our discussions:),0,"we cannot find a problem in our implementation anymore, perhaps there is a problem in he ACF implementation that force a other resultat.
","3.x does not have a mechanism to pass state across core reloads, and that's a change I'd rather leave to 4.x.",0,I guess will be better not catch since until now was not being catched and will be good to propagate upwards.,0,"Adrian,
thanks for the patch: rev.",1,"fixed in revision 413841
Boris, please check that it was applied as expected",0
